Build Select,,Starting Class,,Head,Body,Arms,Legs,,Talismans,,,,,,,Great Rune,,Crystal Tear 1,Crystal Tear 2,,Weapon Class,,,,,,,,,Upgrade Levels,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,,weapons,canCast,Catalyst Select,,Spell 1,Spell 2,Spell 3,Spell 4,Spell 5,Spell 6,Spell 7,Spell 8,Spell 9,Spell 10,Spell 11,Spell 12,,Defaults,,
,,,,,Scaled Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,Mass of Putrescence,,,,
,,,,,Scaled Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vortex of Putrescence,Vortex of Putrescence,Vortex of Putrescence,Vortex of Putrescence,Vortex of Putrescence,Vortex of Putrescence,Vortex of Putrescence,Vortex of Putrescence,Vortex of Putrescence,Vortex of Putrescence,Vortex of Putrescence,Vortex of Putrescence,,,,
,,,,,Beast Champion Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urgent Heal,Urgent Heal,Urgent Heal,Urgent Heal,Urgent Heal,Urgent Heal,Urgent Heal,Urgent Heal,Urgent Heal,Urgent Heal,Urgent Heal,Urgent Heal,,,,
,,,,,Beast Champion Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heal,Heal,Heal,Heal,Heal,Heal,Heal,Heal,Heal,Heal,Heal,Heal,,,,
,,,,,Tree Sentinel Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heal,Heal,Heal,Heal,Heal,Heal,Heal,Heal,Heal,Heal,Heal,Heal,,,,
,,,,,Tree Sentinel Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heal,Heal,Heal,Heal,Heal,Heal,Heal,Heal,Heal,Heal,Heal,Heal,,,,
,,,,,Malformed Dragon Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Great Heal,Great Heal,Great Heal,Great Heal,Great Heal,Great Heal,Great Heal,Great Heal,Great Heal,Great Heal,Great Heal,Great Heal,,,,
,,,,,Crucible Axe Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Great Heal,Great Heal,Great Heal,Great Heal,Great Heal,Great Heal,Great Heal,Great Heal,Great Heal,Great Heal,Great Heal,Great Heal,,,,
,,,,,Crucible Axe Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Great Heal,Great Heal,Great Heal,Great Heal,Great Heal,Great Heal,Great Heal,Great Heal,Great Heal,Great Heal,Great Heal,Great Heal,,,,
,,,,,Crucible Tree Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lord's Heal,Lord's Heal,Lord's Heal,Lord's Heal,Lord's Heal,Lord's Heal,Lord's Heal,Lord's Heal,Lord's Heal,Lord's Heal,Lord's Heal,Lord's Heal,,,,
,,,,,Crucible Tree Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lord's Heal,Lord's Heal,Lord's Heal,Lord's Heal,Lord's Heal,Lord's Heal,Lord's Heal,Lord's Heal,Lord's Heal,Lord's Heal,Lord's Heal,Lord's Heal,,,,
,,,,,Gaius's Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lord's Heal,Lord's Heal,Lord's Heal,Lord's Heal,Lord's Heal,Lord's Heal,Lord's Heal,Lord's Heal,Lord's Heal,Lord's Heal,Lord's Heal,Lord's Heal,,,,
,,,,,Radahn's Lion Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cure Poison,Cure Poison,Cure Poison,Cure Poison,Cure Poison,Cure Poison,Cure Poison,Cure Poison,Cure Poison,Cure Poison,Cure Poison,Cure Poison,,,,
,,,,,Radahn's Lion Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lord's Aid,Lord's Aid,Lord's Aid,Lord's Aid,Lord's Aid,Lord's Aid,Lord's Aid,Lord's Aid,Lord's Aid,Lord's Aid,Lord's Aid,Lord's Aid,,,,
,,,,,Young Lion's Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magic Fortification,Magic Fortification,Magic Fortification,Magic Fortification,Magic Fortification,Magic Fortification,Magic Fortification,Magic Fortification,Magic Fortification,Magic Fortification,Magic Fortification,Magic Fortification,,,,
,,,,,Young Lion's Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flame Fortification,Flame Fortification,Flame Fortification,Flame Fortification,Flame Fortification,Flame Fortification,Flame Fortification,Flame Fortification,Flame Fortification,Flame Fortification,Flame Fortification,Flame Fortification,,,,
,,,,,Lionel's Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lightning Fortification,Lightning Fortification,Lightning Fortification,Lightning Fortification,Lightning Fortification,Lightning Fortification,Lightning Fortification,Lightning Fortification,Lightning Fortification,Lightning Fortification,Lightning Fortification,Lightning Fortification,,,,
,,,,,Lionel's Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Divine Fortification,Divine Fortification,Divine Fortification,Divine Fortification,Divine Fortification,Divine Fortification,Divine Fortification,Divine Fortification,Divine Fortification,Divine Fortification,Divine Fortification,Divine Fortification,,,,
,,,,,Bull-Goat Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lord's Divine Fortification,Lord's Divine Fortification,Lord's Divine Fortification,Lord's Divine Fortification,Lord's Divine Fortification,Lord's Divine Fortification,Lord's Divine Fortification,Lord's Divine Fortification,Lord's Divine Fortification,Lord's Divine Fortification,Lord's Divine Fortification,Lord's Divine Fortification,,,,
,,,,,Verdigris Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejection,Rejection,Rejection,Rejection,Rejection,Rejection,Rejection,Rejection,Rejection,Rejection,Rejection,Rejection,,,,
,,,,,Omen Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejection,Rejection,Rejection,Rejection,Rejection,Rejection,Rejection,Rejection,Rejection,Rejection,Rejection,Rejection,,,,
,,,,,Fire Prelate Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shadow Bait,Shadow Bait,Shadow Bait,Shadow Bait,Shadow Bait,Shadow Bait,Shadow Bait,Shadow Bait,Shadow Bait,Shadow Bait,Shadow Bait,Shadow Bait,,,,
,,,,,Fire Prelate Armor (Altered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shadow Bait,Shadow Bait,Shadow Bait,Shadow Bait,Shadow Bait,Shadow Bait,Shadow Bait,Shadow Bait,Shadow Bait,Shadow Bait,Shadow Bait,Shadow Bait,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darkness,Darkness,Darkness,Darkness,Darkness,Darkness,Darkness,Darkness,Darkness,Darkness,Darkness,Darkness,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darkness,Darkness,Darkness,Darkness,Darkness,Darkness,Darkness,Darkness,Darkness,Darkness,Darkness,Darkness,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assassin's Approach,Assassin's Approach,Assassin's Approach,Assassin's Approach,Assassin's Approach,Assassin's Approach,Assassin's Approach,Assassin's Approach,Assassin's Approach,Assassin's Approach,Assassin's Approach,Assassin's Approach,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Golden Vow,Golden Vow,Golden Vow,Golden Vow,Golden Vow,Golden Vow,Golden Vow,Golden Vow,Golden Vow,Golden Vow,Golden Vow,Golden Vow,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barrier of Gold,Barrier of Gold,Barrier of Gold,Barrier of Gold,Barrier of Gold,Barrier of Gold,Barrier of Gold,Barrier of Gold,Barrier of Gold,Barrier of Gold,Barrier of Gold,Barrier of Gold,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Golden Lightning Fortification,Golden Lightning Fortification,Golden Lightning Fortification,Golden Lightning Fortification,Golden Lightning Fortification,Golden Lightning Fortification,Golden Lightning Fortification,Golden Lightning Fortification,Golden Lightning Fortification,Golden Lightning Fortification,Golden Lightning Fortification,Golden Lightning Fortification,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Protection of the Erdtree,Protection of the Erdtree,Protection of the Erdtree,Protection of the Erdtree,Protection of the Erdtree,Protection of the Erdtree,Protection of the Erdtree,Protection of the Erdtree,Protection of the Erdtree,Protection of the Erdtree,Protection of the Erdtree,Protection of the Erdtree,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wrath of Gold,Wrath of Gold,Wrath of Gold,Wrath of Gold,Wrath of Gold,Wrath of Gold,Wrath of Gold,Wrath of Gold,Wrath of Gold,Wrath of Gold,Wrath of Gold,Wrath of Gold,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wrath of Gold,Wrath of Gold,Wrath of Gold,Wrath of Gold,Wrath of Gold,Wrath of Gold,Wrath of Gold,Wrath of Gold,Wrath of Gold,Wrath of Gold,Wrath of Gold,Wrath of Gold,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wrath from Afar,Wrath from Afar,Wrath from Afar,Wrath from Afar,Wrath from Afar,Wrath from Afar,Wrath from Afar,Wrath from Afar,Wrath from Afar,Wrath from Afar,Wrath from Afar,Wrath from Afar,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wrath from Afar,Wrath from Afar,Wrath from Afar,Wrath from Afar,Wrath from Afar,Wrath from Afar,Wrath from Afar,Wrath from Afar,Wrath from Afar,Wrath from Afar,Wrath from Afar,Wrath from Afar,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heal from Afar,Heal from Afar,Heal from Afar,Heal from Afar,Heal from Afar,Heal from Afar,Heal from Afar,Heal from Afar,Heal from Afar,Heal from Afar,Heal from Afar,Heal from Afar,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heal from Afar,Heal from Afar,Heal from Afar,Heal from Afar,Heal from Afar,Heal from Afar,Heal from Afar,Heal from Afar,Heal from Afar,Heal from Afar,Heal from Afar,Heal from Afar,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heal from Afar,Heal from Afar,Heal from Afar,Heal from Afar,Heal from Afar,Heal from Afar,Heal from Afar,Heal from Afar,Heal from Afar,Heal from Afar,Heal from Afar,Heal from Afar,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erdtree Heal,Erdtree Heal,Erdtree Heal,Erdtree Heal,Erdtree Heal,Erdtree Heal,Erdtree Heal,Erdtree Heal,Erdtree Heal,Erdtree Heal,Erdtree Heal,Erdtree Heal,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erdtree Heal,Erdtree Heal,Erdtree Heal,Erdtree Heal,Erdtree Heal,Erdtree Heal,Erdtree Heal,Erdtree Heal,Erdtree Heal,Erdtree Heal,Erdtree Heal,Erdtree Heal,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erdtree Heal,Erdtree Heal,Erdtree Heal,Erdtree Heal,Erdtree Heal,Erdtree Heal,Erdtree Heal,Erdtree Heal,Erdtree Heal,Erdtree Heal,Erdtree Heal,Erdtree Heal,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blessing's Boon,Blessing's Boon,Blessing's Boon,Blessing's Boon,Blessing's Boon,Blessing's Boon,Blessing's Boon,Blessing's Boon,Blessing's Boon,Blessing's Boon,Blessing's Boon,Blessing's Boon,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blessing's Boon,Blessing's Boon,Blessing's Boon,Blessing's Boon,Blessing's Boon,Blessing's Boon,Blessing's Boon,Blessing's Boon,Blessing's Boon,Blessing's Boon,Blessing's Boon,Blessing's Boon,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blessing's Boon,Blessing's Boon,Blessing's Boon,Blessing's Boon,Blessing's Boon,Blessing's Boon,Blessing's Boon,Blessing's Boon,Blessing's Boon,Blessing's Boon,Blessing's Boon,Blessing's Boon,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,Blessing of the Erdtree,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minor Erdtree,Minor Erdtree,Minor Erdtree,Minor Erdtree,Minor Erdtree,Minor Erdtree,Minor Erdtree,Minor Erdtree,Minor Erdtree,Minor Erdtree,Minor Erdtree,Minor Erdtree,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minor Erdtree,Minor Erdtree,Minor Erdtree,Minor Erdtree,Minor Erdtree,Minor Erdtree,Minor Erdtree,Minor Erdtree,Minor Erdtree,Minor Erdtree,Minor Erdtree,Minor Erdtree,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aspects of the Crucible: Breath,Aspects of the Crucible: Breath,Aspects of the Crucible: Breath,Aspects of the Crucible: Breath,Aspects of the Crucible: Breath,Aspects of the Crucible: Breath,Aspects of the Crucible: Breath,Aspects of the Crucible: Breath,Aspects of the Crucible: Breath,Aspects of the Crucible: Breath,Aspects of the Crucible: Breath,Aspects of the Crucible: Breath,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aspects of the Crucible: Tail,Aspects of the Crucible: Tail,Aspects of the Crucible: Tail,Aspects of the Crucible: Tail,Aspects of the Crucible: Tail,Aspects of the Crucible: Tail,Aspects of the Crucible: Tail,Aspects of the Crucible: Tail,Aspects of the Crucible: Tail,Aspects of the Crucible: Tail,Aspects of the Crucible: Tail,Aspects of the Crucible: Tail,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aspects of the Crucible: Tail,Aspects of the Crucible: Tail,Aspects of the Crucible: Tail,Aspects of the Crucible: Tail,Aspects of the Crucible: Tail,Aspects of the Crucible: Tail,Aspects of the Crucible: Tail,Aspects of the Crucible: Tail,Aspects of the Crucible: Tail,Aspects of the Crucible: Tail,Aspects of the Crucible: Tail,Aspects of the Crucible: Tail,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,Aspects of the Crucible: Horns,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aspects of the Crucible: Thorns,Aspects of the Crucible: Thorns,Aspects of the Crucible: Thorns,Aspects of the Crucible: Thorns,Aspects of the Crucible: Thorns,Aspects of the Crucible: Thorns,Aspects of the Crucible: Thorns,Aspects of the Crucible: Thorns,Aspects of the Crucible: Thorns,Aspects of the Crucible: Thorns,Aspects of the Crucible: Thorns,Aspects of the Crucible: Thorns,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aspects of the Crucible: Thorns,Aspects of the Crucible: Thorns,Aspects of the Crucible: Thorns,Aspects of the Crucible: Thorns,Aspects of the Crucible: Thorns,Aspects of the Crucible: Thorns,Aspects of the Crucible: Thorns,Aspects of the Crucible: Thorns,Aspects of the Crucible: Thorns,Aspects of the Crucible: Thorns,Aspects of the Crucible: Thorns,Aspects of the Crucible: Thorns,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aspects of the Crucible: Bloom,Aspects of the Crucible: Bloom,Aspects of the Crucible: Bloom,Aspects of the Crucible: Bloom,Aspects of the Crucible: Bloom,Aspects of the Crucible: Bloom,Aspects of the Crucible: Bloom,Aspects of the Crucible: Bloom,Aspects of the Crucible: Bloom,Aspects of the Crucible: Bloom,Aspects of the Crucible: Bloom,Aspects of the Crucible: Bloom,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aspects of the Crucible: Bloom,Aspects of the Crucible: Bloom,Aspects of the Crucible: Bloom,Aspects of the Crucible: Bloom,Aspects of the Crucible: Bloom,Aspects of the Crucible: Bloom,Aspects of the Crucible: Bloom,Aspects of the Crucible: Bloom,Aspects of the Crucible: Bloom,Aspects of the Crucible: Bloom,Aspects of the Crucible: Bloom,Aspects of the Crucible: Bloom,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Land of Shadow,Land of Shadow,Land of Shadow,Land of Shadow,Land of Shadow,Land of Shadow,Land of Shadow,Land of Shadow,Land of Shadow,Land of Shadow,Land of Shadow,Land of Shadow,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Land of Shadow,Land of Shadow,Land of Shadow,Land of Shadow,Land of Shadow,Land of Shadow,Land of Shadow,Land of Shadow,Land of Shadow,Land of Shadow,Land of Shadow,Land of Shadow,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elden Stars,Elden Stars,Elden Stars,Elden Stars,Elden Stars,Elden Stars,Elden Stars,Elden Stars,Elden Stars,Elden Stars,Elden Stars,Elden Stars,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elden Stars,Elden Stars,Elden Stars,Elden Stars,Elden Stars,Elden Stars,Elden Stars,Elden Stars,Elden Stars,Elden Stars,Elden Stars,Elden Stars,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elden Stars,Elden Stars,Elden Stars,Elden Stars,Elden Stars,Elden Stars,Elden Stars,Elden Stars,Elden Stars,Elden Stars,Elden Stars,Elden Stars,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,Black Blade,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,Discus of Light,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,Triple Rings of Light,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radagon's Rings of Light,Radagon's Rings of Light,Radagon's Rings of Light,Radagon's Rings of Light,Radagon's Rings of Light,Radagon's Rings of Light,Radagon's Rings of Light,Radagon's Rings of Light,Radagon's Rings of Light,Radagon's Rings of Light,Radagon's Rings of Light,Radagon's Rings of Light,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radagon's Rings of Light,Radagon's Rings of Light,Radagon's Rings of Light,Radagon's Rings of Light,Radagon's Rings of Light,Radagon's Rings of Light,Radagon's Rings of Light,Radagon's Rings of Light,Radagon's Rings of Light,Radagon's Rings of Light,Radagon's Rings of Light,Radagon's Rings of Light,,,,
